Queries, Number of Overlapping Results, Percent Overlap, Spearman Coefficient
Query 1, 5, 50.0, 0.5 
Query 2, 8, 80.0, 0.8333333333333334 
Query 3, 5, 50.0, 0.65 
Query 4, 5, 50.0, 0.8 
Query 5, 6, 60.0, 0.7714285714285715 
Query 6, 6, 60.0, 0.4 
Query 7, 8, 80.0, 0.0357142857142857 
Query 8, 7, 70.0, -0.03571428571428581 
Query 9, 3, 30.0, -5.5 
Query 10, 4, 40.0, -8.3 
Query 11, 4, 40.0, -1.2000000000000002 
Query 12, 8, 80.0, 0.5 
Query 13, 5, 50.0, -2.95 
Query 14, 6, 60.0, 0.17142857142857137 
Query 15, 9, 90.0, 0.85 
Query 16, 6, 60.0, 0.2571428571428571 
Query 17, 7, 70.0, 0.9285714285714286 
Query 18, 6, 60.0, 0.5428571428571429 
Query 19, 7, 70.0, 0.375 
Query 20, 0, 0.0, 0 
Query 21, 6, 60.0, 0.8857142857142857 
Query 22, 5, 50.0, -2.3 
Query 23, 8, 80.0, 0.7023809523809523 
Query 24, 3, 30.0, -4.25 
Query 25, 5, 50.0, 0.6 
Query 26, 7, 70.0, 0.6964285714285714 
Query 27, 7, 70.0, 0.6071428571428572 
Query 28, 5, 50.0, -1.5499999999999998 
Query 29, 8, 80.0, 0.41666666666666663 
Query 30, 7, 70.0, 0.6785714285714286 
Query 31, 3, 30.0, 0.5 
Query 32, 8, 80.0, 0.9761904761904762 
Query 33, 1, 10.0, 1 
Query 34, 6, 60.0, 0.2571428571428571 
Query 35, 7, 70.0, 0.4821428571428571 
Query 36, 7, 70.0, 0.5 
Query 37, 4, 40.0, 0.09999999999999998 
Query 38, 8, 80.0, 0.6547619047619048 
Query 39, 5, 50.0, -2.7 
Query 40, 8, 80.0, 0.8333333333333334 
Query 41, 8, 80.0, 0.9761904761904762 
Query 42, 1, 10.0, 0 
Query 43, 7, 70.0, 0.8392857142857143 
Query 44, 8, 80.0, -0.6190476190476191 
Query 45, 7, 70.0, 0.9285714285714286 
Query 46, 8, 80.0, 0.7619047619047619 
Query 47, 7, 70.0, 0.3571428571428571 
Query 48, 3, 30.0, 0.0 
Query 49, 8, 80.0, 0.7261904761904762 
Query 50, 8, 80.0, 0.7619047619047619 
Query 51, 7, 70.0, 0.4285714285714286 
Query 52, 4, 40.0, -1.9 
Query 53, 6, 60.0, -1.2000000000000002 
Query 54, 6, 60.0, -0.7428571428571429 
Query 55, 8, 80.0, 0.8571428571428572 
Query 56, 5, 50.0, -2.05 
Query 57, 4, 40.0, 0.4 
Query 58, 7, 70.0, 0.9464285714285714 
Query 59, 6, 60.0, 0.8 
Query 60, 8, 80.0, 0.8690476190476191 
Query 61, 3, 30.0, 0.0 
Query 62, 8, 80.0, 0.9761904761904762 
Query 63, 8, 80.0, 0.8333333333333334 
Query 64, 6, 60.0, 0.1428571428571429 
Query 65, 8, 80.0, 0.7619047619047619 
Query 66, 6, 60.0, -1.1428571428571428 
Query 67, 1, 10.0, 0 
Query 68, 8, 80.0, 0.8571428571428572 
Query 69, 6, 60.0, 0.7142857142857143 
Query 70, 3, 30.0, -9.75 
Query 71, 4, 40.0, -4.9 
Query 72, 5, 50.0, 0.65 
Query 73, 8, 80.0, 0.7023809523809523 
Query 74, 6, 60.0, 0.9428571428571428 
Query 75, 6, 60.0, 0.3142857142857143 
Query 76, 8, 80.0, 0.75 
Query 77, 3, 30.0, -2.5 
Query 78, 4, 40.0, -2.3 
Query 79, 7, 70.0, 0.4285714285714286 
Query 80, 8, 80.0, 0.36904761904761907 
Query 81, 3, 30.0, -18.25 
Query 82, 6, 60.0, -0.5428571428571429 
Query 83, 6, 60.0, 0.11428571428571432 
Query 84, 2, 20.0, -72.0 
Query 85, 8, 80.0, 0.9523809523809523 
Query 86, 8, 80.0, 0.5238095238095238 
Query 87, 8, 80.0, 0.8571428571428572 
Query 88, 5, 50.0, -1.85 
Query 89, 2, 20.0, -9.0 
Query 90, 7, 70.0, 0.25 
Query 91, 6, 60.0, -1.2285714285714286 
Query 92, 7, 70.0, 0.625 
Query 93, 6, 60.0, 0.5714285714285714 
Query 94, 2, 20.0, -1.0 
Query 95, 7, 70.0, 0.625 
Query 96, 8, 80.0, 0.6666666666666667 
Query 97, 6, 60.0, -0.7428571428571429 
Query 98, 5, 50.0, -1.75 
Query 99, 7, 70.0, 0.6785714285714286 
Query 100, 8, 80.0, 0.6666666666666667 
Averages, 5.92, 59.2, -1.2012261904761905